filename,width,height,class,xmin,ymin,xmax,ymax
IMG20190630154556.jpg,800,600,colony,439,376,462,402
IMG20190630154556.jpg,800,600,colony,300,479,320,499
IMG20190630154556.jpg,800,600,colony,327,194,348,222
IMG20190630154556.jpg,800,600,colony,260,304,287,333
IMG20190630154556.jpg,800,600,colony,363,296,384,321
IMG20190630154556.jpg,800,600,colony,185,385,211,412
IMG20190630154556.jpg,800,600,colony,458,330,486,349
IMG20190630154556.jpg,800,600,colony,534,307,553,328
IMG20190630154556.jpg,800,600,colony,511,256,530,281
IMG20190630154556.jpg,800,600,colony,404,173,428,192
IMG20190630154556.jpg,800,600,colony,308,218,327,244
IMG20190630154556.jpg,800,600,colony,401,102,419,131
IMG20190630154556.jpg,800,600,colony,264,195,288,222
IMG20190630154556.jpg,800,600,colony,476,424,498,447
IMG20190630154556.jpg,800,600,colony,472,472,494,492
IMG20190630154556.jpg,800,600,colony,511,220,532,244
IMG20190630154556.jpg,800,600,colony,443,192,467,214
IMG20190630154556.jpg,800,600,colony,445,231,467,252
IMG20190630154556.jpg,800,600,colony,353,170,375,189
IMG20190630154556.jpg,800,600,colony,340,113,362,137
IMG20190630154556.jpg,800,600,colony,335,298,359,325
DSC04407.JPG,800,600,colony,436,254,450,267
DSC04407.JPG,800,600,colony,447,205,461,219
DSC04407.JPG,800,600,colony,256,236,270,247
DSC04407.JPG,800,600,colony,373,84,385,94
DSC04407.JPG,800,600,colony,547,323,562,335
DSC04407.JPG,800,600,colony,366,456,378,470
IMG20190630154084.jpg,800,600,colony,524,304,568,328
IMG20190630154084.jpg,800,600,colony,330,147,360,171
IMG20190630154084.jpg,800,600,colony,515,112,544,132
IMG20190630154084.jpg,800,600,colony,520,134,543,156
IMG20190630154084.jpg,800,600,colony,552,456,584,485
IMG20190630154084.jpg,800,600,colony,261,469,294,494
IMG20190630154084.jpg,800,600,colony,212,198,231,225
IMG20190630154084.jpg,800,600,colony,589,111,608,139
DSC04259.JPG,800,600,colony,232,210,243,220
DSC04259.JPG,800,600,colony,512,124,524,137
DSC04259.JPG,800,600,colony,311,344,323,356
DSC04259.JPG,800,600,colony,296,359,305,369
DSC04259.JPG,800,600,colony,353,401,366,411
DSC04259.JPG,800,600,colony,340,308,351,321
DSC04259.JPG,800,600,colony,204,280,216,292
DSC04259.JPG,800,600,colony,517,348,527,363
DSC04259.JPG,800,600,colony,417,244,428,253
DSC04259.JPG,800,600,colony,304,230,313,237
DSC04259.JPG,800,600,colony,270,300,282,309
DSC04259.JPG,800,600,colony,372,371,382,380
